Kelompok,Nama Mahasiswa
47,Putri Syahputra
47,Mira Syahputra
47,Aldi Santoso
48,Sari Fauzi
48,Kiki Permana
48,Eka Wulandari
48,Hana Hidayat
48,Nina Ananda
49,Bima Ridwan
49,Aldi Syahputra
49,Lina Mahardika
49,Aldi Gunawan
49,Umi Santoso
50,Putri Syahputra
50,Oki Utami
50,Aldi Santoso
50,Bima Septiani
50,Ivan Fauzi
51,Dina Ridwan
51,Umi Septiani
51,Joko Wulandari
51,Putri Fauzi
51,Sari Pratama
52,Gina Utami
52,Eka Septiani
52,Nina Mahardika
52,Cici Putri
52,Hana Gunawan
53,Putri Hidayat
53,Eka Maulana
53,Kiki Ramadhan
53,Putri Ramadhan
53,Fajar Permana
54,Hana Mahardika
54,Sari Ridwan
54,Rian Pratama
54,Fajar Saputra
54,Mira Septiani
55,Bima Fauzi
55,Gina Wulandari
55,Oki Gunawan
55,Ivan Hidayat
55,Tio Wijaya
56,Ivan Syahputra
56,Ivan Gunawan
56,Putri Putri
56,Eka Ananda
56,Umi Wulandari
57,Kiki Wijaya
57,Putri Pratama
57,Rian Wijaya
57,Umi Ramadhan
57,Umi Hidayat
58,Umi Ridwan
58,Nina Gunawan
58,Nina Permana
58,Putri Putri
58,Lina Mahardika
59,Cici Siregar
59,Lina Ridwan
59,Oki Siregar
59,Umi Lubis
59,Bima Syahputra
60,Hana Maulana
60,Nina Syahputra
60,Kiki Hidayat
60,Mira Pratama
60,Tio Saputra
61,Gina Lubis
61,Rian Utami
61,Eka Wulandari
61,Eka Pratama
61,Tio Gunawan
62,Oki Pratama
62,Eka Wijaya
62,Ivan Fauzi
62,Mira Siregar
62,Kiki Utami
63,Nina Ridwan
63,Ivan Hidayat
63,Eka Putri
63,Ivan Syahputra
63,Sari Putri
64,Fajar Putri
64,Aldi Hidayat
64,Aldi Fauzi
64,Sari Gunawan
64,Aldi Hidayat
65,Dina Putri
65,Rian Ramadhan
65,Lina Gunawan
65,Ivan Wulandari
65,Bima Putri
66,Oki Fauzi
66,Aldi Hidayat
66,Nina Maulana
66,Ivan Permana
66,Putri Permana
67,Joko Gunawan
67,Oki Ridwan
67,Hana Siregar
67,Joko Wulandari
67,Nina Ananda
68,Gina Permana
68,Ivan Ramadhan
68,Bima Mahardika
68,Rian Ramadhan
68,Lina Saputra
69,Umi Lubis
69,Lina Gunawan
69,Lina Ananda
69,Ivan Septiani
69,Bima Gunawan
70,Aldi Gunawan
70,Mira Septiani
70,Hana Lubis
70,Fajar Permana
70,Rian Mahardika
71,Gina Hidayat
71,Ivan Syahputra
71,Ivan Syahputra
71,Nina Putri
71,Nina Santoso
72,Joko Hidayat
72,Rian Wulandari
72,Mira Utami
72,Ivan Lubis
72,Putri Wulandari
73,Rian Permana
73,Joko Maulana
73,Ivan Wijaya
73,Dina Lubis
73,Fajar Saputra
74,Gina Ridwan
74,Kiki Permana
74,Fajar Gunawan
74,Oki Wulandari
74,Joko Saputra
75,Kiki Putri
75,Lina Ramadhan
75,Dina Hidayat
75,Lina Santoso
75,Rian Syahputra
76,Dina Ridwan
76,Umi Ridwan
76,Umi Santoso
76,Gina Lubis
76,Joko Lubis
77,Tio Saputra
77,Aldi Lubis
77,Lina Wulandari
77,Sari Wijaya
77,Eka Santoso
78,Ivan Ananda
78,Nina Putri
78,Umi Putri
78,Joko Permana
78,Eka Hidayat
79,Fajar Maulana
79,Mira Septiani
79,Putri Ridwan
79,Nina Utami
79,Umi Hidayat
80,Dina Mahardika
80,Nina Permana
80,Cici Putri
80,Mira Santoso
80,Bima Ramadhan
81,Hana Septiani
81,Joko Septiani
81,Nina Mahardika
81,Cici Fauzi
81,Bima Mahardika
82,Nina Ananda
82,Putri Ananda
82,Gina Hidayat
82,Nina Syahputra
82,Lina Maulana
83,Nina Hidayat
83,Lina Ananda
83,Oki Maulana
83,Oki Permana
83,Dina Ramadhan
84,Hana Pratama
84,Rian Syahputra
84,Hana Gunawan
84,Dina Wulandari
84,Eka Hidayat
85,Oki Ramadhan
85,Fajar Mahardika
85,Bima Ananda
85,Joko Siregar
85,Sari Fauzi
86,Fajar Fauzi
86,Nina Ananda
86,Tio Permana
86,Ivan Hidayat
86,Aldi Ridwan
87,Umi Hidayat
87,Joko Utami
87,Ivan Ramadhan
87,Umi Lubis
87,Joko Fauzi
88,Putri Ananda
88,Fajar Lubis
88,Hana Wijaya
88,Dina Fauzi
88,Aldi Putri
89,Tio Hidayat
89,Lina Gunawan
89,Gina Ramadhan
89,Dina Ridwan
89,Aldi Wijaya
90,Nina Mahardika
90,Joko Wulandari
90,Umi Putri
90,Eka Lubis
90,Rian Pratama
91,Tio Putri
91,Eka Siregar
91,Umi Ananda
91,Umi Saputra
91,Mira Fauzi
92,Joko Septiani
92,Ivan Ramadhan
92,Rian Wulandari
92,Lina Pratama
92,Sari Ridwan
93,Ivan Siregar
93,Oki Syahputra
93,Eka Maulana
93,Gina Syahputra
93,Eka Gunawan
94,Ivan Siregar
94,Rian Pratama
94,Hana Wulandari
94,Mira Wulandari
94,Bima Ramadhan
95,Cici Maulana
95,Nina Mahardika
95,Tio Putri
95,Aldi Maulana
95,Eka Syahputra
96,Hana Ramadhan
96,Fajar Pratama
96,Oki Maulana
96,Nina Ananda
96,Umi Ridwan
97,Tio Putri
97,Sari Maulana
97,Rian Mahardika
97,Kiki Wulandari
97,Putri Ramadhan
98,Dina Putri
98,Umi Septiani
98,Fajar Pratama
98,Lina Ramadhan
98,Tio Mahardika
99,Putri Permana
99,Ivan Gunawan
99,Dina Lubis
99,Aldi Syahputra
99,Putri Putri
100,Fajar Pratama
100,Aldi Ramadhan
100,Rian Ridwan
100,Eka Ridwan
100,Putri Ramadhan
